,Number of Boats,Mean waiting time,Maximum waiting time,Minimum waiting time,Mean download time,Maximum download time,Minimum download time
1,10,0.33,2.08,0,3.57,26.46,0.67
2,10,0,0,0,0.49,0.67,0.31
3,10,0.01,0.11,0,0.6,1.01,0.25
4,10,0.21,0.1,0,1.85,9.61,0.52
5,10,0.06,0.54,0,3.91,31.45,0.53
6,10,0.08,0.75,0,2.61,20.52,0.29
7,10,0.02,0.22,0,3.45,28.4,0.37
8,10,0.32,1.12,0,2.68,18.39,0.52
9,10,0.04,0.24,0,3.01,23.19,0.36
10,10,0.06,0.3,0,2.36,16.87,0.42
11,10,0.79,2.63,0,2.58,15.39,0.6
12,10,0.06,0.64,0,4.6,36.66,0.38
13,10,0.16,1.08,0,3.2,25.14,0.31
14,10,0.06,0.64,0,3.16,25.75,0.38
15,10,0.22,1.04,0,2.07,13.34,0.45
16,10,0,0,0,3.92,33.18,0.33
range,"[  10  ,  10  ]","[0 ,  0.79]","[  0  ,  2.63  ]","[  0  ,  0  ]","[  0.49  ,  4.60  ]","[  0.67  ,  36.66  ]","[  0.25  ,  0.67  ]"
standard deviation,0,0.2,0.73,0,1.12,10.59,0.12
